name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations
Kenya,15-24,female,2015,4742700.0,55.928,2652497.256,7.339,153399.97938216003,1936802.7646178398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,female,2016,4887980.0,56.361,2754914.4077999997,7.371,157228.264801062,1975837.3273989381,71407295.38674599,1207353.5453002227,12130353.95239401,0.0,514271.97237907763,4551664.578439663,46029383.76241897,4422923.290389127,8635984.752077674,289769.6827504608,2071201.149235406,485418.6099626802,848269.1228799144,2300955.998195084,3555035.1144209816,12314824.206316113,3942594.112039277,0,0,9490859.098343289,0
Kenya,15-24,female,2017,5033260.0,56.906,2864226.9356,9.304,201806.836311776,1967226.2280882238,71785518.57356404,1207999.8682539838,12184487.009832185,0.0,517832.67610207177,4584144.033691084,46635182.89213533,4260869.742545177,8756831.2714894,279152.6762901935,2111574.0902107824,473589.2505783503,827597.3148708472,2244883.085308057,3570008.0631733984,12412468.914771998,3957306.1011066935,0,0,9601153.388970355,0
Kenya,15-24,female,2018,5178540.0,57.463,2975744.4401999996,11.192,246536.87905281605,1956258.6807471844,72112109.87316124,1206597.973982536,12237728.817416435,0.0,521955.1037184149,4553252.982254098,46357648.56429965,4465596.446328052,8653215.015350008,292565.4325400294,2081525.2205565788,490568.6135332338,857268.7552012993,2325367.776736707,3617842.4978358913,12491343.656325981,3990789.3479238395,0,0,9598456.60895735,0
Kenya,15-24,female,2019,5323820.0,58.043,3090104.8426,13.175,294291.97198745003,1939423.1854125499,694079.0992284494,12926.903290372997,119481.7161065984,0.0,6055.64677863935,61889.1449535849,460839.2860513073,46550.637411079435,91033.87483755195,3049.7846218023524,22505.262222001074,5175.457975769256,9044.113899846503,24532.436186713985,36550.8837413184,129282.73149428845,40115.12654187338,0,0,95435.68860368391,0
Kenya,15-24,female,2020,5469100.0,58.456,3197017.0960000004,14.775,335700.24906599993,1936382.6549339998,68573992.19430958,1253828.0887230015,12197769.75972053,0.0,595611.6771954364,6178897.939930729,46520515.81108752,4491713.707654985,8883733.176884055,294276.5159190835,2262373.232245746,519489.30845869594,907807.6756588102,2462456.147670463,3853151.463115383,13373660.701368673,4131287.7470588763,0,0,9322707.60721561,0
Kenya,15-24,female,2021,5604760.0,58.395,3272899.602,14.463,337256.96936273994,1994603.42863726,68233784.76475346,1299084.4415068794,11783193.732631113,0.0,645044.2858055778,6385475.445479899,46671771.440967426,4645524.397173607,9321777.599480039,304353.48804344505,2229599.052348677,527490.4554102661,921789.681637451,2500382.7674843823,3523980.0989706605,12740293.994824197,3998711.068658184,0,0,9659062.10051257,0
Kenya,15-24,female,2022,5740420.0,58.126,3336676.5291999998,14.332,344504.51423505606,2059238.9565649442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,female,2023,5876080.0,58.196,3419643.5168,14.321,351786.268759072,2104650.2144409283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,female,2024,6011740.0,58.297,3504664.0678,14.3,358511.85830460006,2148564.0738954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,male,2015,4769000.0,53.436,2548362.84,7.337,162928.1484292,2057709.0115708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,male,2016,4916300.0,53.445,2627516.535,7.378,168866.44404769997,2119917.0209522997,64021762.23259768,2060202.4065644983,15481984.884757793,232239.44154907184,557796.4576605248,19736527.552651882,34365326.045415506,18147757.022595957,5611804.013558128,1098718.1356495442,1798211.2572576518,671662.6975384663,1710944.20669039,6221838.941606471,5930756.952243921,11031267.021788834,2515093.2918079267,0,0,4384609.393450677,0
Kenya,15-24,male,2017,5063600.0,54.779,2773789.444,8.798,201457.53271688,2088353.0232831198,63694789.42830991,2058652.882912584,15424839.560376752,232526.66696708417,558486.3203283331,19641557.910352718,34742972.83885616,17623913.966902196,5656720.523215414,1067003.1493397662,1814038.252986815,651885.6544112707,1660565.6201052635,6038637.496104775,5892051.082570277,10991365.670179602,2499733.455086332,0,0,4380156.776468749,0
Kenya,15-24,male,2018,5210900.0,56.142,2925503.478,10.189,232859.05162657998,2052537.47037342,64110857.460785545,2051671.4209018033,15324411.023652205,233207.25561591503,560120.9691843139,19490289.251677517,34243490.24685182,18069007.90132417,5541019.7513112705,1093950.4341864903,1798772.9425512454,671955.7296218283,1711690.6550896238,6224553.396993206,5889581.81339932,10916232.54842157,2488154.1000508503,0,0,4382012.49899865,0
Kenya,15-24,male,2019,5358200.0,57.54,3083108.28,11.675,265616.95831,2009474.76169,634558.4327923706,20943.597294164316,150369.95831682734,2279.360514963799,5474.605056305338,206593.43290005458,338687.10889324936,187163.53428989698,55708.04645023554,11331.426203278494,17815.983482002604,7106.145162367808,18101.672077386487,65826.62824355578,59160.28776246042,112444.48986721164,24292.343096583707,0,0,42833.4099720355,0
Kenya,15-24,male,2020,5505500.0,57.93,3189336.15,12.873,298159.7724105,2018004.0775895002,64483439.90189746,2055944.2283560748,15192942.998393351,220611.96041397372,529869.3848712895,21538047.66382795,33558926.84604449,18118498.97133723,5347123.60070488,1096946.7678991547,1825094.870593577,707439.7217663316,1802079.969566044,6553253.62842996,5866620.236208713,11118885.35368572,2374222.3855315805,0,0,4093959.872755338,0
Kenya,15-24,male,2021,5645120.0,58.036,3276201.8432,12.474,295498.850879232,2073419.305920768,62218978.51487073,2189324.524592686,15173399.59903555,238334.1162583632,572434.7462335603,22047563.303030293,34051220.071563,18668742.79215727,5581969.279958301,1130260.1335239715,1732756.5224095355,718531.3207747497,1830333.893947931,6655998.864823422,5702304.818808082,11134942.745070338,2419603.455970988,0,0,4297946.162912966,0
Kenya,15-24,male,2022,5784740.0,57.349,3317490.5426,12.37,305198.75788038,2162050.6995196203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,male,2023,5924360.0,57.228,3390392.7408,12.417,314642.714574864,2219324.544625136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,15-24,male,2024,6063980.0,57.193,3468172.0814,12.438,322866.588915468,2272941.329684532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,female,2015,4122072.6399999997,14.453,595763.1586592,1.793,63226.72900044053,3463082.752340359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,female,2016,4203120.512,14.283,600331.70272896,1.787,64381.836021673495,3538406.9732493665,138028625.30689594,2333786.0538564646,23447689.363764826,0.0,994075.647269586,8798260.754975056,88973718.02194747,8549406.86807721,16693155.748927118,560117.9928330583,4003583.1887296154,938302.7752087264,1639684.2967831178,4447693.91702061,6871799.402338805,23804266.03315102,7620941.8446739195,0,0,18345607.787421152,0
Kenya,25-35,female,2017,4284168.384,13.838,592843.2209779199,2.3,84900.47874950783,3606424.684272572,138759721.8461632,2335035.3809501287,23552327.292724073,0.0,1000958.4039591952,8861042.779343713,90144713.51525086,8236161.165185659,16926749.233418897,539595.5686374889,4081623.1356600514,915436.9012775405,1599726.177285019,4339306.293027414,6900741.760705599,23993010.9618542,7649379.774097059,0,0,18558804.061443303,0
Kenya,25-35,female,2018,4365216.256,13.34,582319.8485504,2.793,105656.29666006734,3677240.110789533,139391015.1597728,2332325.5522405333,23655242.456642643,0.0,1008926.9597451162,8801331.102251917,89608246.17617638,8631893.076522093,16726461.443258142,565522.1115308212,4023539.376179565,948257.6111861868,1657080.374744906,4494881.311741934,6993204.599733975,24145473.98526334,7714102.103992779,0,0,18553591.248999782,0
Kenya,25-35,female,2019,4446264.128,12.788,568588.25668864,3.322,128816.39244496336,3748859.4788663965,1341638.6015165276,24987.400530738458,230955.3517491669,0.0,11705.423033776826,119630.2640100849,890791.5192217166,89981.28908553605,175966.34254431626,5895.1620636177295,43502.14344136333,10004.038745061256,17482.05980850676,47420.623116189236,70652.00004063974,249900.48436128502,77541.59768407492,0,0,184474.94519766557,0
Kenya,25-35,female,2020,4527312.0,13.634,617253.71808,3.597,140644.7964006624,3769413.4855193375,132551916.76316041,2423620.2550493367,23578002.536373254,0.0,1151303.386786445,11943664.63455989,89923064.74002051,8682377.129421912,17172047.63683247,568829.5955255189,4373114.336381383,1004160.6354060705,1754770.921312499,4759869.913859756,7448051.304457998,25850972.11612645,7985682.210554668,0,0,18020574.90334463,0
Kenya,25-35,female,2021,4633654.368,12.436,576241.25720448,3.899,158198.5371899173,3899214.5736056026,131894303.7900532,2511099.7223408823,22776636.810442567,0.0,1246855.458529777,12342974.10225291,90215438.32102758,8979689.580716655,18018777.220228776,588308.1460300337,4309762.616192958,1019626.6645928962,1781797.8105653697,4833181.179425826,6811770.786659182,24626689.14411353,7729414.604166671,0,0,18670740.241131593,0
Kenya,25-35,female,2022,4739996.736,11.682,553726.4186995199,3.754,157152.58771146002,4029117.72958902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,female,2023,4846339.104,11.607,562514.5798012799,3.727,159658.1400168863,4124166.384181834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,female,2024,4952681.472,11.648,576888.33785856,3.7,161904.3459632333,4213888.788178206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,male,2015,4085025.92,6.567,268263.6521664,1.354,51678.96110646695,3765083.3067271328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Kenya,25-35,male,2016,4166646.272,6.499,270790.34121728,1.347,52477.179387643235,3843378.7513950765,126529978.22811027,4071699.3184448523,30597958.289234865,458988.4823250084,1102405.98168926,39006461.46637964,67918217.25448163,35866480.72284611,11090938.688569758,2171461.342746079,3553910.784331773,1327446.5358734578,3381439.774111987,12296586.635027602,11721304.160877185,21801742.523493454,4970726.958404294,0,0,8665561.705041679,0
Kenya,25-35,male,2017,4248266.624,6.685,283996.6238144,1.959,77660.0493036359,3886609.950881964,125883762.62321319,4068636.903617401,30485018.620009553,459556.1428301289,1103769.397897971,38818767.37060035,68664582.84776783,34831178.84860108,11179709.831237951,2108781.147960097,3585190.607866649,1288360.001091597,3281873.607210486,11934514.831591906,11644807.47168401,21722883.132962372,4940370.408721861,0,0,8656761.73593532,0
