name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations
Rwanda,15-24,female,2015,1120700.0,57.894,648818.058,17.894,84438.55470148,387443.3872985201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,female,2016,1155980.0,58.237,673208.0726000001,17.946,86638.250091204,396133.677308796,8351889514520.91,45869557233.66917,571483050948.3896,2415047117.4092393,26631.249594613902,272619435482.83615,2328166935363.8545,94757.95915458507,281277559722.4236,23723146112.01184,70241873688.08739,5203.476504373641,122911.15065572898,97313906310.40672,115914342388.63788,296959425621.9209,146692292785.3023,0,0,2039245.0199233468,0
Rwanda,15-24,female,2017,1191260.0,58.469,696517.8094,17.968,88895.27680700799,405846.913792992,8378953109696.043,51688662347.67977,568655436205.6525,2344305996.610587,25851.171876456327,254502967444.61707,2434159617212.88,102840.64552578478,303029935572.3844,25746688529.68599,81104419480.85878,5739.987778332706,135584.06615110076,107347584334.05989,127904593542.57536,314108027520.26855,148954310416.9942,0,0,2087858.5705951024,0
Rwanda,15-24,female,2018,1226540.0,63.691,781195.5914,18.419,82027.98662003399,363316.421979966,8279164793123.407,50789971645.28112,566233081109.2417,2289566777.3312945,25247.55060516412,315028997513.25757,2447195407320.351,103323.26290842363,295538373881.26154,25867514292.362663,76684920122.31396,5685.162537699667,134289.04091066393,106322258606.93793,112846278635.789,294170239955.87726,143222488677.19376,0,0,2021134.2164813208,0
Rwanda,15-24,female,2019,1261820.0,63.503,801293.5545999999,18.032,83042.12863452802,377484.31676547206,215746.52519694078,1377.2424800224655,20701.494866206594,101.86459713936456,424.0217376858103,11109.452344113872,53129.63387342228,1121.338735989428,9952.502407498487,743.6943758630031,3350.351444937393,77.01957344683662,1819.2768598853586,3815.781555444083,3857.6040119931727,12035.136518524641,4884.945741679203,0,0,24701.957764431805,0
Rwanda,15-24,female,2020,1297100.0,59.025,765613.275,19.035,101168.49810375,430318.2268962499,8459711798426.629,48151278888.3868,646934175075.5365,6308591202.6300335,69566.20667834229,607410726138.893,1654077809367.9263,97687.96500039159,294573591358.91174,24456688258.859074,98450963834.5441,7240.41248968164,171025.54985707684,135408091509.08081,113348050117.18762,365314277762.6646,223376626591.68155,0,0,2040070.3584668771,0
Rwanda,15-24,female,2021,1335160.0,61.006,814527.7096,19.143,99664.63935127202,420967.65104872803,8139310964606.493,38023054453.01262,813810619064.8728,5273695176.677794,58154.18321389994,435691282195.4342,2002748277574.5398,113079.64967480631,394465651294.7237,28310076277.120182,138701084067.90897,8069.313751194803,190604.9998165289,150909962159.5335,160388979354.68027,448632068610.8829,180684365749.3138,0,0,2457398.5486131883,0
Rwanda,15-24,female,2022,1373220.0,61.847,849295.3734,18.698,97963.426681668,425961.1999183319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,female,2023,1411280.0,62.521,882346.3687999999,18.267,96620.30641130402,432313.324788696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,15-24,female,2024,1449340.0,63.065,914026.271,17.876,95692.68219604001,439621.04680396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
